,type,date,review,rating,geo,geo_2,coordinate,lon,lat,year
19761,indeed,2019-12-01,"travailleur une très bonne équipe, une bonne ambiance je recommande",4.0,Rodez (12),rodez,"[2.566732, 44.359272]",2.566732,44.359272,2019
19762,indeed,2019-12-01,travailleur Au sein du groupe on avais une très bonne équipe qui m'on permit a m’intégrer dans le monde du travail,5.0,Rodez (12),rodez,"[2.566732, 44.359272]",2.566732,44.359272,2019
19763,indeed,2019-12-01,agréable une bonne entreprise  avec des valeurs humaine je conseil,5.0,Montgeron (91),montgeron,"[2.455399, 48.704816]",2.455399,48.704816,2019
19764,indeed,2019-12-01,"Conseillere Clientele Une bonne experience, dommage que les salariés en CDI ne sont pas objectifs, préfèrent soutenir ceux qui font plus d erreurs",4.0,Valenciennes (59),valenciennes,"[3.510438, 50.358552]",3.510438,50.358552,2019
19765,indeed,2019-11-26,Entreprise humaine et agreable Travailler chez Enedis c'est se former chaque jour un peu plus aux enjeux de l'entreprise et de son emploi,4.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2019
19766,indeed,2019-11-25,Boff Très bonne expérience dans le service acheminement en interim .De très belle rencontres mais attention à ne pas trop donner votre avis quand on vous le demande... si vous n allez pas chercher l infos par vous même personne de vous aidera...,3.0,Tarbes (65),tarbes,"[0.065776, 43.239085]",0.065776,43.239085,2019
19767,indeed,2019-11-24,"Très belle expérience J’ai travaillé au service cartographie à Enedis Angers. Une très belle expérience avec une belle équipe, un très bon management et des missions de service publique.",5.0,Angers (49),angers,"[-0.56191, 47.466735]",-0.56191,47.466735,2019
19769,indeed,2019-11-23,"Retour à l école Une entreprise à la dérive , trop d inactif qui passent leur temps à le tuer",1.0,Caudan (56),caudan,"[-2.918721, 48.082717]",-2.918721,48.082717,2019
19771,indeed,2019-11-19,"BTS en alternance réalisé au sein de l'entreprise Deux excellentes années passées chez ENEDIS. Deux tutrices au top du top, des missions sympathiques, quoi que de temps en temps répétitives mais des missions enrichissantes.",5.0,Orléans (45),orlans,"[6.121064, 48.765601]",6.121064,48.765601,2019
19772,indeed,2019-11-18,"Environnement de travail calme Environnement de travail calme, voire un peu laxiste pour certains",4.0,Ploërmel (56),plormel,"[-2.486762, 48.377483]",-2.486762,48.377483,2019
19774,indeed,2019-11-05,"Environnement de travail parfait Chez ENEDIS Poitiers, le sérieux et le travail prime! et tous dirons des avis constructifs sur le travail de chacun pour une évolution exponentielle du collectif. ENEDIS mets tout en œuvre afin de garantir une efficacité exemplaire.",5.0,Poitiers (86),poitiers,"[0.356849, 46.586616]",0.356849,46.586616,2019
19775,indeed,2019-11-04,environnement et encadrement Disponibilité de l'équipe encadrante et des collèges en cas de demandes de conseils.,5.0,Cambrai (59),cambrai,"[3.240712, 50.172628]",3.240712,50.172628,2019
19776,indeed,2019-11-04,environnement de travail très agréable Appels entrants,4.0,Nantes (44),nantes,"[-1.555335, 47.239367]",-1.555335,47.239367,2019
19777,indeed,2019-10-30,"Environnement très agréable une journée de travail typique, traitement de dossiers, papier et mail.",5.0,Besançon (25),besanon,"[6.000637, 47.243779]",6.000637,47.243779,2019
19778,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19779,indeed,2019-10-30,"nul j'ai pas aimé, il fallait que je vendes le compteur linky",5.0,Narbonne (11),narbonne,"[0.649303, 47.31119]",0.649303,47.31119,2019
19781,indeed,2019-10-28,Environnement de travail agréable Esprit d'équipe,3.0,Annecy (74),annecy,"[6.125316, 45.901548]",6.125316,45.901548,2019
19782,indeed,2019-10-16,"Avis sur l'entreprise Très très bonne ambiance avec un bonne esprit d'équipe, les salariés nous aides a nous intégrer facilement et de bonne condition de travail.",5.0,Draguignan (83),draguignan,"[6.460296, 43.531436]",6.460296,43.531436,2019
19783,indeed,2019-10-09,"Une journée Assez plaisant , le travail varie beaucoup dans la journée",4.0,Guillestre (05),guillestre,"[6.64281, 44.661765]",6.64281,44.661765,2019
19785,indeed,2019-09-29,"Ras Société disposant d'atout financier (13 éme mois, intéressement).",3.0,Hyères (83),hyres,"[0.636156, 48.962585]",0.636156,48.962585,2019
19787,indeed,2019-09-21,Super Je suis ravie de mon expérience chez Enedis où j'ai pu m'épanouir dans un univers qui m'était inconnu. Cela fait plaisir de voir qu'il existe encore des entreprises où les personnes prennent le temps de t'expliquer les choses et en rajoutant tout cela dans une bonne ambiance. Super équipe. Merci vraiment !,5.0,Romagnat (63),romagnat,"[3.095781, 45.725005]",3.095781,45.725005,2019
